0_Name_of_Disease,1_Disease_URL,2_Image_of_Disease_URL
Genital wart images,https://dermnetnz.org/topics/genital-wart-images,https://dermnetnz.org/assets/Uploads/gw2-small2__FocusFillWzE1MCwxMTAsInkiLDE1XQ.jpg
Gougerot Blum images,https://dermnetnz.org/topics/capillaritis-images,https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
Gouty tophus images,https://dermnetnz.org/topics/gouty-tophi-images,https://dermnetnz.org/assets/Uploads/gout6-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Granular parakeratosis images,https://dermnetnz.org/topics/granular-parakeratosis-images,https://dermnetnz.org/assets/Uploads/granular-parakeratosis-8__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Granuloma annulare images,https://dermnetnz.org/topics/granuloma-annulare-images,https://dermnetnz.org/assets/Uploads/ga12-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Grover disease,https://dermnetnz.org/topics/transient-acantholytic-dermatosis-images,https://dermnetnz.org/assets/Uploads/scaly/grovers-disease/2729__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Guttate psoriasis images,https://dermnetnz.org/topics/guttate-psoriasis-images,https://dermnetnz.org/assets/Uploads/2756__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
"Hair, scalp, nail and sweat images",https://dermnetnz.org/image-catalogue/hair-scalp-nail-and-sweat-images,https://dermnetnz.org/assets/Uploads/woolly-hair-naevus2-s2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Halo mole images,https://dermnetnz.org/topics/halo-mole-images,https://dermnetnz.org/assets/Uploads/bml-h2-thunmbnail__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Hand dermatitis images,https://dermnetnz.org/topics/hand-dermatitis-images,https://dermnetnz.org/assets/Uploads/2808__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Hand foot and mouth disease images,https://dermnetnz.org/topics/hand-foot-and-mouth-disease-images,https://dermnetnz.org/assets/Uploads/hfm3-s3__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Herpes simplex images,https://dermnetnz.org/topics/herpes-simplex-images,https://dermnetnz.org/assets/Uploads/2881__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Herpes zoster images,https://dermnetnz.org/topics/herpes-zoster-images,https://dermnetnz.org/assets/Uploads/zoster-14-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Hidradenitis suppurativa images,https://dermnetnz.org/topics/hidradenitis-suppurativa-images,https://dermnetnz.org/assets/Uploads/hs-axilla-54__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Hidrocystoma images,https://dermnetnz.org/topics/hidrocystoma-images,https://dermnetnz.org/assets/Uploads/hidrocystoma-3__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
